question,context,answer_text
Who is the smartest people in the Big Bang Theory,"Caption: THE BIG BANG THEORY Scene: Following a “Previously on The Big Bang Theory” section Scene: Following a “Previously on The Big Bang Theory” section Leonard: Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang. Penny: I’m settling once and for all who is the smartest around here. Okay, are you ready? James: Ay-yi-yi, bang-bang. Bernadette: Who are all those people? Leonard: Who are these people? Howard: There’s two kinds of people in this world, those who call tech support, and those who make fun of the people who call tech support. Sheldon: Indeed. I was the world’s smartest caterpillar. And then after pupating in our nation’s railway system, I’ve burst forth as the world’s smartest butterfly. Raj: I like your bangs. Sheldon: There was a scientist who had a theory and James Clerk Maxwell was his name-o. J-A-M-E-S, C-L-E-R-K space M-A-X-W-E-L-L, And James Clerk Maxwell was his name-o. There was a scientist who had a theory and James Clerk Maxwell was his name-o, A-M-E-S… Penny: Unless you’re sleeping with one of them, seeing other people isn’t a big deal. Bernadette: I’m sure it was harmless. People flirt. No big deal. Howard: The blogosphere is a-buzzing with news of you and Lesley Winkle making eine kleine bang-bang music. Sheldon: It’s not that big of an opportunity. And even if Hawking’s theories are correct, all they prove is where the universe came from, why everything exists and what its ultimate end will be. I mean, me? I’m interested in the big questions. Scene: The apartment. Banging on door. Howard: Well, a lot of people who weren’t available, but then me. Bernadette: What if she likes the people who work there more than us? Raj: I’m a little jealous of the people who get to do it.",Sheldon
The smartest people in the Big Bang Theory is,"Caption: THE BIG BANG THEORY Scene: Following a “Previously on The Big Bang Theory” section Scene: Following a “Previously on The Big Bang Theory” section Leonard: Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang. James: Ay-yi-yi, bang-bang. Sheldon: Indeed. I was the world’s smartest caterpillar. And then after pupating in our nation’s railway system, I’ve burst forth as the world’s smartest butterfly. Raj: I like your bangs. Penny: Unless you’re sleeping with one of them, seeing other people isn’t a big deal. Bernadette: I’m sure it was harmless. People flirt. No big deal. Howard: The blogosphere is a-buzzing with news of you and Lesley Winkle making eine kleine bang-bang music. Sheldon: It’s not that big of an opportunity. And even if Hawking’s theories are correct, all they prove is where the universe came from, why everything exists and what its ultimate end will be. I mean, me? I’m interested in the big questions. Scene: The apartment. Banging on door. Penny: I’m settling once and for all who is the smartest around here. Okay, are you ready? Stuart: Everyone has a different theory. Amy: Well, I’d been thinking about a cellular automata approach to neuronal connectivity, and I thought it might have some interesting applications to string theory, it’s not a big deal. Penny: Well, I’m a people person. People like me. Some of my favourite people are people. I feel like I’m saying people a lot. People, people, people. Okay, I’m done. Penny: It’s not a big deal, just a one night showcase, but they invite a lot of casting people and agents so, you never know. Sheldon: Why is Leonard softly banging his head against his bedroom door? Sheldon: It was. This seemed so elegant at the time, but now I realize I was just a simple country boy seduced by a big city theory with variables in all the right places. Jimmy: Aw, come on, you can figure it out. You’re like the smartest guy I’ve ever known.",Sheldon
Who gets the MacArthur Fellowship,"Sheldon: Hey, it’s not even called the Genius Grant, it’s the MacArthur Fellowship. Just like it’s not Frankenstein, it’s Frankenstein’s Monster. Which brings us back to that hulking simpleton over there. And if anyone’s a genius, it’s me for the way I brought that full circle. Howard: Hey, isn’t that the guy who won the MacArthur genius grant last year? No, not all at once. Howard: Damn, the MacArthur Genius Grant. Amy: I was offered a summer research fellowship at Princeton. Leonard: Oh, yeah. Wasn’t that the basis of your postdoc fellowship? Howard: I just got offered a fellowship at the Weitzmann Institute in Israel. Leonard: Congratulations on the MacArthur Grant, by the way. Big fan. Bert: You know, as a MacArthur Grant winner, I’m allowed to nominate someone for next year. Bert: Wow, I won the MacArthur Grant, everyone’s jealous of me. Once I get Lasik, I’ll be out of things to wish for. Leonard: Yeah. We also put in what happens if one of us wins a MacArthur Grant, or if one of us gets superpowers, or if one of us is bitten by a zombie. Sheldon-bot : Isn’t this nice? The pleasures of fellowship and camaraderie without having to tolerate your germy breath on my skin. Raj: Hell Hounds. Who let the Satanic dogs out? Who? Who-who? Bert: Right. I wasn’t getting any responses, and then I added recent $625,000 MacArthur grant winner, and five minutes later I met my soul mate. Sheldon: A breakup would imply she was my girlfriend. She was a girl who was my friend who is now a girl who is not my friend. Leonard: Really? This is going to decide who’s the hero and who’s the sidekick? Bernadette: Hold on, who decides who’s worthy? Does the hammer decide? Penny: Who I hope for her sake is not Captain Hook, so… who are you calling? Amy: Who’s the only one who can make him take his medicine when he’s sick? Howard: There’s two kinds of people in this world, those who call tech support, and those who make fun of the people who call tech support. Raj: Who were you respecting then?",Bert
The MacArthur Fellowship is given to whom,"Penny: Question one. Given the choice of anyone in the world, whom would you want as a dinner guest? Raj: Hang on. Okay. Given the choice of anyone in the world, whom would you want as a dinner guest? Sheldon: Hey, it’s not even called the Genius Grant, it’s the MacArthur Fellowship. Just like it’s not Frankenstein, it’s Frankenstein’s Monster. Which brings us back to that hulking simpleton over there. And if anyone’s a genius, it’s me for the way I brought that full circle. Howard: Damn, the MacArthur Genius Grant. Amy: I was offered a summer research fellowship at Princeton. Leonard: Oh, yeah. Wasn’t that the basis of your postdoc fellowship? Sheldon: Who’s going to tell whom about what? Penny: The one from whom I live across the hall from. Howard: I just got offered a fellowship at the Weitzmann Institute in Israel. Leonard: Congratulations on the MacArthur Grant, by the way. Big fan. Priya: Oh, too bad. Although I do know one person for whom that’s good news. Leonard: Given her what? Sheldon: And you never answered me. So who owes whom an apology now? Bert: You know, as a MacArthur Grant winner, I’m allowed to nominate someone for next year. Bert: Wow, I won the MacArthur Grant, everyone’s jealous of me. Once I get Lasik, I’ll be out of things to wish for. Leonard: Yeah. We also put in what happens if one of us wins a MacArthur Grant, or if one of us gets superpowers, or if one of us is bitten by a zombie. Sheldon-bot : Isn’t this nice? The pleasures of fellowship and camaraderie without having to tolerate your germy breath on my skin. Amy: Could have given it back to me. That was a choice. Penny: Again, I’ve never given it much thought. Leonard: I hadn’t really given it much thought.",Bert
Who's job involves audition,,Penny
Who in the Big Bang Theory goes to auditions,"Caption: THE BIG BANG THEORY Scene: Following a “Previously on The Big Bang Theory” section Scene: Following a “Previously on The Big Bang Theory” section Leonard: Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang. Leonard: There goes our big payday. Amy: I can’t believe you got up and walked out of an audition for a big movie. James: Ay-yi-yi, bang-bang. Alicia: I just got a callback to audition for CSI to play a hooker who gets killed. Leonard: Well, forget it. I was the one who was invited, I get to decide who goes with me, and it’s Penny, not you! Raj: I like your bangs. Sheldon: There was a scientist who had a theory and James Clerk Maxwell was his name-o. J-A-M-E-S, C-L-E-R-K space M-A-X-W-E-L-L, And James Clerk Maxwell was his name-o. There was a scientist who had a theory and James Clerk Maxwell was his name-o, A-M-E-S… Leonard: Hey. Oh, how’d the audition go? Scene: The audition room. Penny: I didn’t do the audition. Penny: What is the harm if I audition? Howard: The blogosphere is a-buzzing with news of you and Lesley Winkle making eine kleine bang-bang music. Sheldon: It’s not that big of an opportunity. And even if Hawking’s theories are correct, all they prove is where the universe came from, why everything exists and what its ultimate end will be. I mean, me? I’m interested in the big questions. Scene: The apartment. Banging on door. Stuart: Sorry. Most of the guys who come in here like big boobs. Couple of them have big boobs. Sheldon: No, Leonard said nothing, but who knows what goes on over here when he pretends your mail was misdelivered.",Penny
Who goes to auditions,"Alicia: I just got a callback to audition for CSI to play a hooker who gets killed. Leonard: Well, forget it. I was the one who was invited, I get to decide who goes with me, and it’s Penny, not you! Leonard: Hey. Oh, how’d the audition go? Scene: The audition room. Penny: I didn’t do the audition. Penny: What is the harm if I audition? Sheldon: No, Leonard said nothing, but who knows what goes on over here when he pretends your mail was misdelivered. Penny: Hi. Sorry I’m late, I was at an audition. Girl: Hey. I haven’t seen you auditioning in a while. Leonard: And to show you how much I believe in you, I kind of got you an audition. Howard: This is where he goes? What’s in there? Bernadette: There she goes. Amy: I can’t believe you got up and walked out of an audition for a big movie. Howard: We should figure out where he goes. Priya: You said he goes to bed at nine. Stuart: And there goes the mood. Raj: Oh, you’re where that bill goes. Leonard: And there goes our hike. Sheldon: And there goes my list. Hey, what’s up?",Penny
Who does not have a driving license,"Sheldon: I just don’t see why I need a driver’s license, Albert Einstein never had a driver’s license. Howard: Fine. Who wants to drive me to the store? Sheldon: Not entirely, the fight over who’s going to drive is still… Sheldon: Fine. Two years ago I got my driver’s license. Howard: If this is a viable thing, we could get a patent and license it to companies that make guidance systems. Sheldon: Oh, no. It’s not just me. No. The railway is four hours from the nearest airport, and guess who gets to drive me. Penny: Okay, look, they sent me the ticket. I told them I wasn’t driving and they were all, if it wasn’t you, who was it? Sheldon: Gary Con, do we fly or drive? Do we wear costumes? And if so, who gets to be Gary? Penny: Yeah, drive safe. We love you. And give us a call… Oh, my God, it was me, it was me. I’m the one who blabbed she was pregnant! Sheldon: Penny, you’re not trained. You’re not licensed. Most importantly, you don’t have access to my haircut records. Leonard: Yes, you are, you’re meant to learn how to drive. Please learn how to drive! Leonard: Top of her class, Cambridge University. Licensed to practice law in three countries. And your face. Leonard: If you want to drive, just drive. I don’t see why this has to be so complicated. Sheldon: Yes, I was in a taxi, but the driver didn’t look at all like the photograph on his license, so I leapt out and ran for it. Sheldon: Okay, then why is a summons for a traffic violation committed in your car, bearing your license plates, coming to me? Penny: No! It wasn’t a betrayal. It was more of a can’t afford any more points on my license. I already have to buy my insurance from this place in the Cayman Islands. Sheldon: I don’t drive. : Why can’t she drive herself? Sheldon: I don’t drive. Sheldon: Wait. You have to drive me.",Sheldon
Who cannot drive,"Howard: Fine. Who wants to drive me to the store? Sheldon: Not entirely, the fight over who’s going to drive is still… Sheldon: Oh, no. It’s not just me. No. The railway is four hours from the nearest airport, and guess who gets to drive me. Penny: Okay, look, they sent me the ticket. I told them I wasn’t driving and they were all, if it wasn’t you, who was it? Sheldon: Gary Con, do we fly or drive? Do we wear costumes? And if so, who gets to be Gary? Penny: Yeah, drive safe. We love you. And give us a call… Oh, my God, it was me, it was me. I’m the one who blabbed she was pregnant! Leonard: Yes, you are, you’re meant to learn how to drive. Please learn how to drive! Leonard: If you want to drive, just drive. I don’t see why this has to be so complicated. Sheldon: I don’t drive. : Why can’t she drive herself? Sheldon: I don’t drive. Sheldon: Wait. You have to drive me. Sheldon: Thank you for driving me. Penny: Okay, I’m not driving him. Leonard: Are you okay to drive? Raj: We can drive there. Leonard: You want to drive? Sheldon: You forgot your flash drive, You forgot your flash drive (repeated over and over in time to the sound of the train) Leonard: Yeah, drive safe. Bernadette: Because you were driving like a lunatic.",Sheldon
Who need to get a drivering license,,Sheldon
