Query,relevant_transcript,relevance_score,old query
Where did Penny and Leonard's wedding take place?,(9 13) Stuart: What trip to Las Vegas?,1,hold the wedding in Las Vegas
Where did Penny and Leonard's wedding take place?,(2 21) Scene: A bar at the Las Vegas Casino.,1,
Where did Penny and Leonard's wedding take place?,"(3 11) Penny (finishing Deck the Halls): Fa-la-la-la-la, la-la la-la.",0,
Where did Penny and Leonard's wedding take place?,"(3 11) Leonard (singing Deck the Halls): Fa-la-la, la-la-la, la-la-la.",0,
Where did Penny and Leonard's wedding take place?,"(3 11) Leonard (continuing Deck the Halls): Fa-la-la-la-la, la-la-la-la.",0,
Where did Penny and Leonard's wedding take place?,"(2 21) Leonard: Okay, then let’s do this, lets go to Las Vegas.",1,
Where did Penny and Leonard's wedding take place?,"(7 9) Sheldon: Let me ask you a question. At any point, was Las Vegas on its side?",1,
Where did Penny and Leonard's wedding take place?,(9 13) Sheldon: Can you believe they planned a trip to Las Vegas and didn’t invite me?,1,
Where did Penny and Leonard's wedding take place?,(6 23) Girls: Vegas! Vegas! Vegas!,0,
Where did Penny and Leonard's wedding take place?,"(9 13) Sheldon: And I want you to know that I mean it, you know? This isn’t me just wanting to go on the trip to Las Vegas.",1,
Where did Penny and Leonard's wedding take place?,"(2 21) Raj: Look at this, mouthwash, lotion, body wash, shampoo and conditioner together in one tiny bottle. I love Las Vegas.",0,
Where did Penny and Leonard's wedding take place?,"(9 10) Sheldon (on phone): Hello, yes, I was hoping you could help me. What song is this? La, la, la, la, la, la, la. You don’t know? Well, how dare you call yourselves a Rock and Roll Hall of Fame? My goodness. Do you sing along to the greatest hits of Elvis Presley with that mouth? Well, they were no help at all.",0,
Where did Penny and Leonard's wedding take place?,"(2 21) Sheldon: I’m just in a good mood. While my compatriots are in Las Vegas, I will be enjoying a blissful evening in my personal Fortress of Solitude.",0,
Where did Penny and Leonard's wedding take place?,"(1 12) Sheldon (voice off, sings to a Mexican tune): Ah, la-la-la, Hava Nagila. They’ll come, they’ll settle and I’ll win the prize…",1,
Where did Penny and Leonard's wedding take place?,"(2 16) Howard: Well, hold on. Are you saying if I don’t go to the wedding, I can’t go to Geneva?",1,
Where did Penny and Leonard's wedding take place?,"(5 22) Raj: Oh, oh, yeah, and then there was the time when Leonard and I took Howard to Las Vegas and paid a hooker to pretend she was Jewish and that she wanted his little kosher pickle. Of all the Howard humping hookers stories, that one’s my favourite!",0,
Where did Penny and Leonard's wedding take place?,"(7 7) Arthur: Hold, hold, hold on. You, you have a girlfriend?",0,
Where did Penny and Leonard's wedding take place?,(9 3) Sheldon: Viva la Imodium. Ay-ay-ay.,1,
Where did Penny and Leonard's wedding take place?,(3 6) Raj: I… I do enjoy the La Brea Tar Pits.,1,
Where did Penny and Leonard's wedding take place?,(7 5) Scene: A bar in Vegas.,1,
Where did Penny and Leonard's wedding take place?,(6 23) Amy: Thank you. Vegas!,1,
Where did Penny and Leonard's wedding take place?,"(6 8) Raj: Hold on, hold on.",0,
Where did Penny and Leonard's wedding take place?,(2 21) Scene: A Vegas bathroom.,1,
Where did Penny and Leonard's wedding take place?,(2 21) Howard: I say Vegas baby!,0,
Where did Penny and Leonard's wedding take place?,(7 5) Scene: A Vegas hotel room.,1,
Where did Penny and Leonard's wedding take place?,"(9 13) Leonard: Well, Vegas, but…",0,
Where did Penny and Leonard's wedding take place?,"(6 23) Penny: Vegas, here we come.",1,
Where did Penny and Leonard's wedding take place?,(7 5) Scene: The Vegas strip club.,0,
Where did Penny and Leonard's wedding take place?,"(7 14) Bernadette: La-dee-da, look who has clean underwear.",0,
Where did Penny and Leonard's wedding take place?,"(1 5) Sheldon: Uh-duh, hold on, hold on!",1,
Where did Penny and Leonard's wedding take place?,(8 24) Penny: Vegas isn’t that far away.,0,
Where did Penny and Leonard's wedding take place?,(7 5) Penny: Want to go to Vegas this weekend?,1,
Where did Penny and Leonard's wedding take place?,"(8 24) Leonard: It’s not just the date. We haven’t talked about anything. Big wedding, small wedding, indoor, outdoor?",1,
Where did Penny and Leonard's wedding take place?,"(5 8) Penny: Yeah, sure, sure. Vegas is fun, too.",1,
Where did Penny and Leonard's wedding take place?,"(4 6) Leonard: Oh, right, sure. I wish you could stay in LA a while longer.",1,
Where did Penny and Leonard's wedding take place?,(7 5) Penny: Bernadette? Girl’s weekend. Vegas. You in?,1,
Where did Penny and Leonard's wedding take place?,(4 16) Raj: Why are you holding hands? I forbid you to hold hands.,1,
Where did Penny and Leonard's wedding take place?,(5 3) Scene: The wedding.,1,
Where did Penny and Leonard's wedding take place?,(1 8) Raj: Spring wedding?,1,
Where did Penny and Leonard's wedding take place?,(9 1) Scene: A Wedding Chapel.,1,
Where did Penny and Leonard's wedding take place?,"(5 24) Penny: Hey, I know tons of people who got married in Vegas.",1,
Where did Penny and Leonard's wedding take place?,(9 1) Scene: The Wedding Chapel.,0,
Where did Penny and Leonard's wedding take place?,(9 1) Scene: The Wedding Chapel.,1,
Where did Penny and Leonard's wedding take place?,(9 1) Scene: The Wedding Chapel.,1,
Where did Penny and Leonard's wedding take place?,"(2 21) Raj: Is it me, or was that Sheldon’s way of saying Vegas baby!",1,
Where did Penny and Leonard's wedding take place?,"(7 13) Penny: And hold three, two, one. Very good. Now let’s try Warrior 2. And hold.",2,
Where did Penny and Leonard's wedding take place?,(5 3) Penny: Really? For a wedding?,1,
Where did Penny and Leonard's wedding take place?,(10 1) Scene: The wedding ceremony.,1,
Where did Penny and Leonard's wedding take place?,"(5 24) Howard: You know, we could always drive to Vegas and get married.",0,
Where did Penny and Leonard's wedding take place?,(9 1) Howard: I don’t know. It’s a mess. They had a huge fight in Vegas.,2,
Where did Penny and Leonard's wedding take place?,(10 1) Amy: Who’s ready for a wedding?,1,
Where did Penny and Leonard's wedding take place?,(2 21) Raj: Me? No. I just got Vegas baby from Vince Vaughn in Swingers. .,1,
Where did Penny and Leonard's wedding take place?,"(4 23) Howard: Right, right, whereas Jewish mothers take a casual, la-di-da approach to their sons.",1,
Where did Penny and Leonard's wedding take place?,"(9 18) Leonard: Hold on, hold on. So the three of us do all the work and only end up with 25%?",1,
Where did Penny and Leonard's wedding take place?,"(6 23) Amy: Nineteen. Yes, this is turning out to be even better than Vegas.",1,
Where did Penny and Leonard's wedding take place?,"(8 24) Penny: Wow, there’s a Denny’s in Vegas you can actually get married in.",1,
Where did Penny and Leonard's wedding take place?,"(5 22) Howard: So, is the wedding still on?",1,
Where did Penny and Leonard's wedding take place?,"(5 3) Penny: Ames, hi. How was the wedding?",0,
Where did Penny and Leonard's wedding take place?,"(9 1) Penny: Uh, actually I’m in Vegas. Leonard and I are about to get married.",1,
Where did Penny and Leonard's wedding take place?,"(9 13) Raj: Yeah, I calmed her down, but she’s not going to Vegas if he’s going.",2,
Where did Penny and Leonard's wedding take place?,"(4 18) Leonard: Well, uh, not far. Hey, if you ever wanna start a family, La Cañada has some great schools.",1,
Where did Penny and Leonard's wedding take place?,(10 1) Sheldon: Why do people cry at weddings?,0,
Where did Penny and Leonard's wedding take place?,"(9 6) Sheldon: Wait, hold on, hold on. How do we know that you’re not gonna take the money and drive away?",1,
Where did Penny and Leonard's wedding take place?,"(9 17) Penny: You know, to be fair, we did get married in Vegas and didn’t invite her.",1,
Where did Penny and Leonard's wedding take place?,"(7 9) Penny: Sheldon, you can have a nice Thanksgiving anywhere. I spent one in Vegas.",2,
Where did Penny and Leonard's wedding take place?,"(5 3) Sheldon: Ha-ha, you have to go to a wedding.",1,
Where did Penny and Leonard's wedding take place?,(5 8) Scene: Cut to Bernadette in a wedding dress.,1,
Where did Penny and Leonard's wedding take place?,(9 3) Bernadette: What about your sister’s wedding?,1,
