,query_id,query,transcript_id,transcript
0,0,Who is the smartest people in the Big Bang Theory,15225,(9 11) Caption: THE BIG BANG THEORY
1,0,Who is the smartest people in the Big Bang Theory,5707,(5 24) Scene: Following a “Previously on The Big Bang Theory” section
2,0,Who is the smartest people in the Big Bang Theory,38444,(6 1) Scene: Following a “Previously on The Big Bang Theory” section
3,0,Who is the smartest people in the Big Bang Theory,36797,"(1 1) Leonard: Excuse me, if I were to give up at the first little hitch I never would have been able to identify the fingerprints of string theory in the aftermath of the big bang."
4,0,Who is the smartest people in the Big Bang Theory,13320,"(1 13) Penny: I’m settling once and for all who is the smartest around here. Okay, are you ready?"
5,0,Who is the smartest people in the Big Bang Theory,46936,"(7 14) James: Ay-yi-yi, bang-bang."
6,0,Who is the smartest people in the Big Bang Theory,30799,(3 10) Bernadette: Who are all those people?
7,0,Who is the smartest people in the Big Bang Theory,49059,(9 22) Leonard: Who are these people?
8,0,Who is the smartest people in the Big Bang Theory,25081,"(8 22) Howard: There’s two kinds of people in this world, those who call tech support, and those who make fun of the people who call tech support."
9,0,Who is the smartest people in the Big Bang Theory,9653,"(8 1) Sheldon: Indeed. I was the world’s smartest caterpillar. And then after pupating in our nation’s railway system, I’ve burst forth as the world’s smartest butterfly."
10,0,Who is the smartest people in the Big Bang Theory,34756,(6 23) Raj: I like your bangs.
11,0,Who is the smartest people in the Big Bang Theory,21290,"(8 21) Sheldon: There was a scientist who had a theory and James Clerk Maxwell was his name-o. J-A-M-E-S, C-L-E-R-K space M-A-X-W-E-L-L, And James Clerk Maxwell was his name-o. There was a scientist who had a theory and James Clerk Maxwell was his name-o, A-M-E-S…"
12,0,Who is the smartest people in the Big Bang Theory,2537,"(7 19) Penny: Unless you’re sleeping with one of them, seeing other people isn’t a big deal."
13,0,Who is the smartest people in the Big Bang Theory,14450,(9 14) Bernadette: I’m sure it was harmless. People flirt. No big deal.
14,0,Who is the smartest people in the Big Bang Theory,12068,(1 5) Howard: The blogosphere is a-buzzing with news of you and Lesley Winkle making eine kleine bang-bang music. 
15,0,Who is the smartest people in the Big Bang Theory,2036,"(6 24) Sheldon: It’s not that big of an opportunity. And even if Hawking’s theories are correct, all they prove is where the universe came from, why everything exists and what its ultimate end will be. I mean, me? I’m interested in the big questions."
