,query_id,query,transcript_id,transcript,labels
0,0,Whom does Penny married to,33197,"(10 16) Dr Koothrapalli: I have six children, five of whom are married and self-sufficient. I don’t think I’m the problem.(10 16) Raj: I can’t believe what I’m hearing. This is deeply hurtful.",0
1,0,Whom does Penny married to,33196,"(10 16) Raj: What are you saying, that you’re giving up on me? What kind of father gives up on his son?(10 16) Dr Koothrapalli: I have six children, five of whom are married and self-sufficient. I don’t think I’m the problem.",0
2,0,Whom does Penny married to,12528,(3 11) Beverley: Really? Which one?(3 11) Penny: The one from whom I live across the hall from.,0
3,0,Whom does Penny married to,12529,"(3 11) Penny: The one from whom I live across the hall from.(3 11) Beverley: Well, that’s convenient. How did his penis turn out?",0
4,0,Whom does Penny married to,11801,(3 23) Raj: Really? Us gonna tell him?(3 23) Sheldon: Who’s going to tell whom about what?,0
5,0,Whom does Penny married to,11802,(3 23) Sheldon: Who’s going to tell whom about what?(3 23) Howard: Sheldon. Hey.,0
6,0,Whom does Penny married to,31030,"(4 20) Priya: Oh, too bad. Although I do know one person for whom that’s good news.(4 20) Leonard: Really? Who?",0
7,0,Whom does Penny married to,49578,"(8 16) Penny: Question one. Given the choice of anyone in the world, whom would you want as a dinner guest?(8 16) Sheldon: Hmm. Living or dead?",0
8,0,Whom does Penny married to,48605,"(5 21) Howard: No, you said, would it help if I said I’m sorry?(5 21) Sheldon: And you never answered me. So who owes whom an apology now?",0
9,0,Whom does Penny married to,49549,"(8 16) Raj: Hang on. Okay. Given the choice of anyone in the world, whom would you want as a dinner guest?(8 16) Leonard: Hmm. I can honestly say Penny.",1
10,0,Whom does Penny married to,31029,"(4 20) Leonard: Don’t tell anybody I told you, but I heard she might be breaking up with him.(4 20) Priya: Oh, too bad. Although I do know one person for whom that’s good news.",0
11,0,Whom does Penny married to,5820,"(5 24) Penny: Hey, I know tons of people who got married in Vegas.(5 24) Bernadette: Are any of them still married?",1
12,0,Whom does Penny married to,23488,"(9 1) Penny: Uh, actually I’m in Vegas. Leonard and I are about to get married.(9 1) Amy: Hold on. You’re getting married and you didn’t invite me?",2
13,0,Whom does Penny married to,31096,(4 20) Howard: I’m gonna ask her to marry me.(4 20) Leonard: Marry you?,1
14,0,Whom does Penny married to,49548,"(8 16) Amy: What’s the first question?(8 16) Raj: Hang on. Okay. Given the choice of anyone in the world, whom would you want as a dinner guest?",0
15,0,Whom does Penny married to,30167,"(8 24) Leonard: Well, like I said, we’re about to get married, and I, I want a clean slate. No secrets.(8 24) Penny: Really? Because to me, it seems like we’re about to get married and you’re trying to sabotage it.",2
16,0,Whom does Penny married to,48606,"(5 21) Sheldon: And you never answered me. So who owes whom an apology now?(5 21) Howard: Sheldon, you’re a condescending jerk. Why on earth would I want to do something nice for you?",0
17,0,Whom does Penny married to,1743,"(5 4) Bernadette: You know, I met a really cute girl at work. She’s married to a guy in one of our drug trials.(5 4) Penny: Well, hello? She’s married.",0
18,0,Whom does Penny married to,19103,"(7 24) Penny: You want some wine?(7 24) Bernadette: Thanks. Little warning before you jump into this marriage business. You’re not just marrying him, you’re marrying his family.",1
19,0,Whom does Penny married to,11459,(2 1) Leonard: What’s going on with you?(2 1) Sheldon: Well I might ask you the same question. Why do you insist on attempting to drag me into matters which have nothing to do with me? But exist between you and Penny. A person to whom I barely speak. (His eye begins to twitch.) ,1
20,0,Whom does Penny married to,24649,"(7 7) Penny: Sorry, they’re both married.(7 7) Arthur: Good.",0
21,0,Whom does Penny married to,48922,"(9 22) Zack: Hey, did you two get married?(9 22) Penny: We did.",1
22,0,Whom does Penny married to,11460,(2 1) Sheldon: Well I might ask you the same question. Why do you insist on attempting to drag me into matters which have nothing to do with me? But exist between you and Penny. A person to whom I barely speak. (His eye begins to twitch.) (2 1) Leonard: What’s wrong with your face? ,1
23,0,Whom does Penny married to,48703,"(5 21) Penny: Come on, you do it to feel superior. I see that twinkle in your eye when someone says who instead of whom or thinks the moon is a planet.(5 21) Sheldon: Or Don Quixote is a book about a donkey named Hotay.",0
24,0,Whom does Penny married to,19104,"(7 24) Bernadette: Thanks. Little warning before you jump into this marriage business. You’re not just marrying him, you’re marrying his family.(7 24) Penny: I think Leonard’s mom’s okay with me.",2
25,0,Whom does Penny married to,26832,"(6 16) Penny: As long as things keep going great between us, you’ll keep asking me to marry you, and eventually I’m gonna end up saying yes, and then we’re gonna be married forever, and the whole thing just freaks me out.(6 16) Leonard: Okay. I know I propose a lot. So how about this? I promise I will never ask you to marry me again.",2
26,0,Whom does Penny married to,20939,"(9 10) Howard: So if you think that’s creepy, you married the wrong guy.(9 10) Bernadette: Maybe I should marry Trent.",0
27,0,Whom does Penny married to,20401,(5 16) Bernadette: If I ever actually ever get married.(5 16) Penny: Why wouldn’t you?,0
28,0,Whom does Penny married to,30013,"(8 24) Sheldon: Hello.(8 24) Penny: No. Sheldon, we’re getting married.",1
29,0,Whom does Penny married to,30181,"(8 24) Leonard: So, we’re still getting married?(8 24) Penny: Yes.",2
30,0,Whom does Penny married to,33057,(9 8) Bernadette: Why’d you bring him?(9 8) Penny: I had to: we’re married now.,1
31,0,Whom does Penny married to,34469,(6 2) Penny: What about me what?(6 2) Bernadette: Do you think you and Leonard might ever get married?,2
32,0,Whom does Penny married to,48702,"(5 21) Sheldon: Au contraire. When I correct people I am raising them up. You should know, I do it for you more than anyone.(5 21) Penny: Come on, you do it to feel superior. I see that twinkle in your eye when someone says who instead of whom or thinks the moon is a planet.",0
33,0,Whom does Penny married to,18697,(5 20) Raj: Because this one wants to marry me. I might never find another one who does.(5 20) Howard: So you’re seriously thinking about marrying someone you’re never going to have sex with.,0
34,0,Whom does Penny married to,27308,"(9 17) Sheldon: Fine. As you know, I have a twin sister with whom I obviously share a birthday. Every year we’d have a party. No one I invited would ever come, because they didn’t like me.(9 17) Amy: I’m sorry.",0
35,0,Whom does Penny married to,46049,"(9 3) Scene: Penny’s apartment. (9 3) Amy: So, Penny, how’s married life?",1
36,0,Whom does Penny married to,18557,"(5 20) Dr Koothrappali: Matchmaking, very smart move son. Much better than marrying for love.(5 20) Mrs Koothrappali: We married for love.",0
37,0,Whom does Penny married to,7817,(7 23) Leonard: Like what?(7 23) Penny: I don’t know. We could get married.,2
38,0,Whom does Penny married to,7818,"(7 23) Penny: I don’t know. We could get married.(7 23) Leonard: Come on, be serious.",1
39,0,Whom does Penny married to,14635,"(8 3) Penny: So what? Why do you even care?(8 3) Sheldon: Oh, listen to them. Not even married and the honeymoon’s over.",0
40,0,Whom does Penny married to,23563,"(9 1) Penny: Really, we’re good.(9 1) Leonard: Yup, just want to get married.",2
41,0,Whom does Penny married to,27057,(7 12) Penny: You’re right. I do have you. Mm. Let’s get married.(7 12) Leonard: What?,2
42,0,Whom does Penny married to,27063,"(7 12) Penny: Okay, so, so you don’t want to marry me?(7 12) Leonard: That is not what I said.",2
43,0,Whom does Penny married to,30049,"(8 24) Penny: Really good.(8 24) Leonard: You still want to get married, right?",2
44,0,Whom does Penny married to,30180,"(8 24) Penny: Okay, that’s enough. Stop talking.(8 24) Leonard: So, we’re still getting married?",2
45,0,Whom does Penny married to,33058,"(9 8) Penny: I had to: we’re married now.(9 8) Bernadette: Ugh, I hear that.",1
46,0,Whom does Penny married to,34472,(6 2) Bernadette: But do you think you’ll ever get married?(6 2) Penny: He’s a sweetie.,1
47,0,Whom does Penny married to,54444,"(7 9) Zack: Are you sure? ‘Cause you didn’t know we were married until this morning.(7 9) Penny: Okay, look, Zack, come on. You know neither of us thought this was real. I mean, we were married by an Elvis impersonator.",0
48,0,Whom does Penny married to,35648,"(5 2) Penny: Oh, it’s no problem. It’s actually kind of nice. You reading, me reading. We’re like an old married couple.(5 2) Sheldon: If we were an old married couple, the wife would serve iced tea and snickerdoodles.",0
49,0,Whom does Penny married to,27307,"(9 17) Amy: Can you please just tell me why?(9 17) Sheldon: Fine. As you know, I have a twin sister with whom I obviously share a birthday. Every year we’d have a party. No one I invited would ever come, because they didn’t like me.",0
50,0,Whom does Penny married to,5821,"(5 24) Bernadette: Are any of them still married?(5 24) Penny: Yeah, I mean, not to the same people but…",0
51,0,Whom does Penny married to,15137,(7 22) Penny: What’s that?(7 22) Leonard: I regret not saying yes when you asked me to marry you.,2
52,0,Whom does Penny married to,15151,"(7 22) Penny: Okay. Leonard, will you marry me?(7 22) Leonard: Hmm.",2
53,0,Whom does Penny married to,23564,"(9 1) Leonard: Yup, just want to get married.(9 1) Penny: Yeah.",2
54,0,Whom does Penny married to,24648,"(7 7) Arthur: So, you, uh, you have, you have any, single grandmothers?(7 7) Penny: Sorry, they’re both married.",0
